wbid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2L52.1	WBGene00007063	   421.148	 0.297469	0.247	  1.20514	0.22814895798993670150700552312628133222	0.948629303631148612652168594649993
2RSSE.1	WBGene00007064	  1723.693	-0.428954	0.346	 -1.23933	0.21522479132583963168379170838306890801	0.929181080545500748257836676202714
2RSSE.2	WBGene00044165	   160.231	 0.177969	0.447	  0.39832	0.69039658124900249447364330990239977837	0.999872903625625752965788706205785
3R5.1	WBGene00007065	    43.736	-0.128604	0.301	 -0.42721	0.66922369413637794455240737079293467104	0.999872903625625752965788706205785
4R79.1	WBGene00003525	    56.184	 0.623835	1.298	  0.48072	0.63071817043213984632643587247002869844	0.999872903625625752965788706205785
4R79.2	WBGene00007067	    11.980	 0.121626	1.295	  0.09392	0.92517025312949108251103780276025645435	0.999872903625625752965788706205785
6R55.2	WBGene00007069	     0.783	-0.987413	1.839	 -0.53680	0.59140563265573120599327694435487501323	                                 NA
AC3.1	WBGene00005532	     4.884	-1.217969	1.029	 -1.18333	0.23667816621563955714613314285088563338	                                 NA
AC3.10	WBGene00004964	     1.573	 0.339979	1.329	  0.25574	0.79815480227841084648332525830483064055	                                 NA
AC3.2	WBGene00007070	   190.398	 0.115730	0.538	  0.21517	0.82963605630847658822801804490154609084	0.999872903625625752965788706205785
AC3.3	WBGene00000024	     4.382	-0.296577	1.576	 -0.18814	0.85076935836666112145110218989429995418	                                 NA
AC3.4	WBGene00004098	     0.375	 0.375758	2.751	  0.13659	0.89135801894375066289910591876832768321	                                 NA
AC3.5	WBGene00007071	    17.448	-0.875012	0.900	 -0.97190	0.33110172453915370782695504203729797155	0.999872903625625752965788706205785
AC3.6	WBGene00000724	     3.169	 0.350560	0.852	  0.41145	0.68073948757148161625707416533259674907	                                 NA
AC3.7	WBGene00007072	    37.965	-0.114302	0.588	 -0.19438	0.84587984093220058845474795816699042916	0.999872903625625752965788706205785
AC3.8	WBGene00007073	    11.494	 0.790444	1.022	  0.77348	0.43923599818369135627804666910378728062	0.999872903625625752965788706205785
AC7.1	WBGene00006428	     4.979	-0.264792	1.423	 -0.18613	0.85233923640016218126191915871459059417	                                 NA
AC7.2	WBGene00004929	   834.025	-0.161292	0.593	 -0.27183	0.78575473182966126817206031773821450770	0.999872903625625752965788706205785
AC7.3	WBGene00014997	     0.619	-2.043684	2.206	 -0.92654	0.35416644652624917899430556644801981747	                                 NA
AC8.4	WBGene00007076	     0.925	 2.273101	1.565	  1.45291	0.14624817272431839265678377159929368645	                                 NA
AC8.7	WBGene00007079	     0.198	 2.196330	3.399	  0.64618	0.51816371082277035142737986461725085974	                                 NA
AH10.1	WBGene00007082	     5.242	-2.227861	1.586	 -1.40431	0.16022603751009933947813124177628196776	                                 NA
AH10.2	WBGene00007083	    26.829	-2.127790	0.861	 -2.47164	0.01344947286971361760654630757017002907	0.271434816097856690397804868553067
AH10.3	WBGene00007084	    48.594	-0.062220	1.015	 -0.06132	0.95110470516795198037129921431187540293	0.999872903625625752965788706205785
AH10.4	WBGene00007085	     0.204	 1.537240	3.404	  0.45159	0.65156399743205262176104497484629973769	                                 NA
AH6.1	WBGene00001528	     0.312	 1.143638	3.413	  0.33505	0.73758838595611198041268607994425110519	                                 NA
AH6.10	WBGene00005032	     1.041	-1.251582	2.327	 -0.53780	0.59071488843070718566252708114916458726	                                 NA
AH6.2	WBGene00007080	     0.138	-0.525977	3.448	 -0.15255	0.87875448514156617729753406820236705244	                                 NA
AH6.3	WBGene00007081	     0.807	-1.514176	2.224	 -0.68073	0.49604257511898963706187259958824142814	                                 NA
AH6.4	WBGene00005027	     1.062	-1.884669	1.487	 -1.26753	0.20496673073532767350712902043596841395	                                 NA
AH6.5	WBGene00003231	  3044.138	-1.239286	0.752	 -1.64780	0.09939347551540049507945440154799143784	0.733106876683092600899271928938106
AH9.1	WBGene00014998	    12.082	-0.803766	0.571	 -1.40855	0.15896864004506339185240904043894261122	0.851407169522007678530428620433668
AH9.2	WBGene00000797	   162.322	-0.692439	0.717	 -0.96620	0.33394590447212169070922982427873648703	0.999872903625625752965788706205785
AH9.3	WBGene00014999	   716.523	 0.265649	0.265	  1.00315	0.31578746376341282342536942451260983944	0.999872903625625752965788706205785
AH9.4	WBGene00015000	     6.254	-0.412125	0.844	 -0.48837	0.62529072367060467563248948863474652171	                                 NA
AH9.6	WBGene00044701	    38.418	 0.235946	1.366	  0.17271	0.86287820063438591677851263739285059273	0.999872903625625752965788706205785
AH9.7	WBGene00175029	    16.344	 0.479617	0.417	  1.14971	0.25026161173012234639756456999748479575	0.964476805461270791930417090043193
B0001.1	WBGene00003010	   691.792	-0.057443	0.376	 -0.15279	0.87856413596693683221161563778878189623	0.999872903625625752965788706205785
B0001.2	WBGene00007087	   246.067	-0.124211	0.450	 -0.27575	0.78274284634479285305275197970331646502	0.999872903625625752965788706205785
B0001.3	WBGene00007088	   491.496	-0.078928	0.189	 -0.41835	0.67569267210280958835255660233087837696	0.999872903625625752965788706205785
B0001.4	WBGene00007089	   503.814	-0.190726	0.337	 -0.56518	0.57194994472346882830038339307066053152	0.999872903625625752965788706205785
B0001.5	WBGene00007090	   563.147	-0.486652	0.186	 -2.62000	0.00879289186018991295035185373762942618	0.215473024674850160975481117020536
B0001.6	WBGene00007091	  2746.210	-0.514810	0.243	 -2.11521	0.03441203521960099070975402923977526370	0.449644997079696684405547557616956
B0001.7	WBGene00007092	   668.587	-0.973467	0.755	 -1.28960	0.19718943949909586987878640229610027745	0.909401507540166353926736064750003
B0001.8	WBGene00007093	   528.448	-0.550427	0.495	 -1.11147	0.26636727541219307191511234123026952147	0.988020219097527352403176337247714
B0019.1	WBGene00000138	   168.987	-0.600893	0.823	 -0.73015	0.46530150055843366718733022935339249671	0.999872903625625752965788706205785
B0019.2	WBGene00007094	   473.375	-0.038800	0.406	 -0.09559	0.92384500338191588575398327520815655589	0.999872903625625752965788706205785
B0024.1	WBGene00000722	     6.312	-1.358154	0.976	 -1.39215	0.16387713187242236578811116487486287951	                                 NA
B0024.10	WBGene00007100	   439.289	 0.017319	0.334	  0.05183	0.95866463388493017294678111284156329930	0.999872903625625752965788706205785
B0024.11	WBGene00007101	   487.315	-0.058688	0.426	 -0.13768	0.89049600542935170022218471785890869796	0.999872903625625752965788706205785
B0024.12	WBGene00001646	   134.114	-0.209701	0.287	 -0.73069	0.46496632517758734737256531843740958720	0.999872903625625752965788706205785
B0024.13	WBGene00007102	   238.963	-1.044189	0.509	 -2.05115	0.04025243636810633268696690834076434840	0.484383523996015974422135741406237
B0024.14	WBGene00007103	   245.862	 0.108845	0.374	  0.29090	0.77112771374520983069800195153220556676	0.999872903625625752965788706205785
B0024.15	WBGene00007104	     4.244	 1.077566	1.225	  0.87999	0.37886572600390339138343165359401609749	                                 NA
B0024.2	WBGene00000723	    12.628	 1.297532	0.878	  1.47773	0.13947874439493149201219068800128297880	0.832560700300786771244077044684673
B0024.3	WBGene00007096	    17.431	 0.110112	0.350	  0.31469	0.75299759447647973686912337143439799547	0.999872903625625752965788706205785
